,roi,gmv,gross_margin,cost
0.01,0.6051564211815709,16349.660448090563,2452.4490672135844,2165.0722109073326
0.05,1.3361165508907227,37391.691509903816,5608.753726485573,2802.3521888623973
0.25,2.505988601220515,73172.10909511017,10975.816364266524,3929.723071348368
0.5,3.3330884587465652,104546.6270550618,15681.994058259272,4867.424152857175
0.75,4.182860874234736,143108.8514299346,21466.327714490195,5928.0297648843125
0.95,5.461612581881541,211234.26490133523,31685.139735200282,7674.100513006057
0.99,6.3685401916807916,273257.9336655666,40988.69004983499,8966.838781346412
